Player,Team,salary2017_18
Aaron Brooks,MIN,2116955
Aaron Gordon,ORL,5504420
Aaron Gray,DET,452059
Aaron Harrison,DAL,83129
Abdel Nader,BOS,1167333
AJ Hammons,MIA,1312611
Al Horford,BOS,27734405
Al Jefferson,IND,9769821
Al-Farouq Aminu,POR,7319035
Alan Williams,PHO,6000000
Alec Burks,UTA,10845506
Alex Abrines,OKC,5725000
Alex Len,PHO,4187599
Alex Poythress,IND,778668
Alexis Ajinca,NOP,4961798
Alfonzo McKinnie,TOR,815615
Allen Crabbe,BRK,19332500
Amir Johnson,PHI,11000000
Anderson Varejao,POR,1913345
Andre Drummond,DET,23775506
Andre Iguodala,GSW,14814815
Andre Roberson,OKC,9259259
Andrew Bogut,LAL,2328652
Andrew Harrison,MEM,1312611
Andrew Nicholson,POR,2844429
Andrew Wiggins,MIN,7574322
Ante Zizic,CLE,1645200
Anthony Davis,NOP,23775506
Anthony Tolliver,DET,3290000
Anthony Tolliver,SAC,2000000
Antonius Cleveland,ATL,92160
Antonius Cleveland,DAL,50000
Aron Baynes,BOS,4328000
Arron Afflalo,ORL,2328652
Arron Afflalo,SAC,1500000
Austin Rivers,WAS,11825000
Avery Bradley,LAC,8808989
Axel Toupane,NOP,25000
Bam Adebayo,MIA,2490360
Ben McLemore,MEM,5200000
Ben Simmons,PHI,6168840
Beno Udrih,DET,25000
Bismack Biyombo,ORL,17000000
Blake Griffin,DET,29512900
Boban Marjanovic,LAC,7000000
Bobby Brown,HOU,1524305
Bobby Portis,CHI,1516320
Bogdan Bogdanovic,SAC,9470614
Bojan Bogdanovic,IND,10500000
Bradley Beal,WAS,23775506
Brandan Wright,MEM,5179760
Brandon Ingram,LAL,5519400
Brandon Jennings,MIL,238020
Brandon Knight,PHO,13618750
Brandon Paul,SAS,815615
Brandon Rush,POR,119602
Briante Weber,MEM,83129
Briante Weber,LAL,50000
Briante Weber,HOU,50000
Brice Johnson,MEM,1331160
Brook Lopez,LAL,22642350
Bruno Caboclo,SAC,2451225
Bryn Forbes,SAS,1312611
Buddy Hield,SAC,3675480
Caleb Swanigan,POR,1465920
Cameron Oliver,HOU,300000
Cameron Payne,CHI,2203440
Caris LeVert,BRK,1632480
Carlos Delfino,LAC,650000
Carmelo Anthony,OKC,26243760
Caron Butler,SAC,517220
Carrick Felix,WAS,140902
Cedi Osman,CLE,2642857
Chandler Parsons,MEM,23112004
Channing Frye,LAL,7420912
Chasson Randle,NYK,1312611
Cheick Diallo,NOP,1312611
Chinanu Onuaku,HOU,1312611
Chris Bosh,MIA,25289390
Chris Johnson,HOU,25000
Chris McCullough,WAS,1471382
Chris Paul,HOU,24599495
CJ McCollum,POR,23962573
CJ Miles,TOR,7936509
CJ Watson,ORL,333334
Clint Capela,HOU,2334520
Cody Zeller,CHO,12584270
Cole Aldrich,MIN,7300000
Corey Brewer,LAL,7579366
Cory Joseph,IND,7630000
Courtney Lee,NYK,11747890
Cristiano Felicio,CHI,7843500
D'Angelo Russell,BRK,5562360
Dakari Johnson,OKC,815615
Damian Jones,GSW,1312611
Damian Lillard,POR,26153057
Damien Wilkins,IND,2116955
Damion Lee,ATL,92160
Damyean Dotson,NYK,1100000
Daniel Ochefu,WAS,50000
Daniel Theis,BOS,815615
Danilo Gallinari,LAC,20559599
Danny Green,SAS,10000000
Dante Cunningham,BRK,2300000
Dante Exum,UTA,4992385
Dario Saric,PHI,2422560
Darius Miller,NOP,2100000
Darrell Arthur,DEN,7464912
Darren Collison,IND,10000000
David Nwaba,CHI,1312611
David Stockton,UTA,148318
David West,GSW,2328652
Davis Bertans,SAS,1312611
Davon Reed,PHO,815615
De'Aaron Fox,SAC,4609200
DeAndre Jordan,LAC,22642350
DeAndre Liggins,MIL,1577230
DeAndre Liggins,NOP,172238
DeAndre Liggins,ATL,26773
DeAndre' Bembry,ATL,1567200
Dejounte Murray,SAS,1312611
Delon Wright,TOR,1645200
DeMar DeRozan,TOR,27739975
DeMarcus Cousins,NOP,18063850
DeMarre Carroll,BRK,14800000
Demetrius Jackson,BOS,92858
Demetrius Jackson,HOU,74159
Demetrius Jackson,HOU,50000
Dennis Schroder,ATL,15500000
Dennis Smith,DAL,3218280
Denzel Valentine,CHI,2186400
Deron Williams,BRK,5500000
Derrick Favors,UTA,12000000
Derrick Jones,PHO,1312611
Derrick Rose,UTA,2116955
Derrick White,SAS,1404600
Derrick Williams,LAL,104059
Devin Booker,PHO,2319360
Devin Harris,DEN,4402546
Dewayne Dedmon,ATL,6000000
Deyonta Davis,MEM,1312611
Diamond Stone,ATL,1312611
Diamond Stone,CHI,50000
Dillon Brooks,MEM,815615
Dion Waiters,MIA,11000000
Dirk Nowitzki,DAL,5000000
